,Wi,Xi,Yi,Ti,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11
10,(4+0j),(19.151557056826245+0j),(81.08434620067352+0j),(3+0j),(-5.469637320798871-13.21907498676106j),(-3.3680678707999814-3.5244234453326237j),(16.73558559305948-18.072692339821916j),(-4.9835111584501295-2.809500105536919j),(9.77598147387573-12.16194052153342j),(-1.9896309537617904+6.735830284616862j),(6.672274279241995-0.9101757732681831j),(0.9093743493123753+17.270406290204953j),(-7.976010760154338+10.717673946183055j),(-11.70423894679464-0.42089838151420894j),(1.2787228011900973-11.01680019972619j),(-3.277093707952648+1.8633120775138432j)
11,(3+0j),(-66.90896883563599+0j),(35.247668549513975+0j),(10+0j),(3.062280919772217-2.290997719746445j),(-13.29902946906397+2.0844373711544524j),(16.232283977515635-0.9902969689137355j),(-8.492167437919063-12.522085562211894j),(6.344745349745461+1.7631340059334253j),(-17.574390005013566-6.304073273229797j),(4.635401926379768-4.738623085372057j),(-19.10747764923543+11.648974788810438j),(-9.832068877605305+8.910716482592033j),(16.981955763460295-5.600372111471198j),(1.8299361337007798-18.39733660648384j),(-6.427211380437447-10.49292947849623j)
12,(5+0j),(-49.515975007918954+0j),(-113.15367759003678+0j),(3+0j),(12.368921333571416+10.759980782303964j),(-0.6648272138827678-9.830974380300686j),(-4.823656738120684+0.5070811202047587j),(4.557917359825043-12.906340962454246j),(1.402690024940529-6.841715145698766j),(-0.40215229834669874+3.667146935347116j),(14.491983903104643-6.345304684081727j),(13.061756143643581+5.807073569679286j),(8.321567682376335-11.753475507536372j),(5.310374421408811-19.0001972509791j),(-6.72794518803528+23.251845470428428j),(-2.1426051544631366-17.738592130142163j)
13,(5+0j),(150.07122477487516+0j),(-72.31320677988323+0j),(5+0j),(-22.345173354250505-9.935813909638554j),(-0.2910467669651143+5.511288884150822j),(-11.609251058339986-2.012367935306592j),(8.647363619222327-1.399056666660512j),(-20.764242115719465+2.553654061031966j),(-18.303351144324587+0.01978790532209302j),(-5.135658896003889+4.463730811563394j),(2.4359330789417886-5.029682401603498j),(4.603659639416441+8.047567472931751j),(3.0190827484982656-4.53271352639446j),(-9.657946952883783-1.9306918433675226j),(3.8944425983324082+4.461829347011176j)
14,(4+0j),(32.06860658814911+0j),(-164.12445987708847+0j),(3+0j),(1.821853832909963-0.0016078083228853626j),(4.223371859839522+14.665236396951354j),(-4.097935629691786-27.64746592574518j),(2.032945130333606-9.65518231683052j),(1.8434076299304005+7.652269889897494j),(-1.4449306988602553-1.2338318504567005j),(-0.00971151955382288+2.5927588349725395j),(-3.314660845289797+15.4788802268259j),(2.2539888513900768+8.56738168336179j),(-8.502769239764023-28.756984523025917j),(-5.063132597593176+2.3600022920191983j),(4.627261453257888+22.253171648443534j)
15,(6+0j),(-93.45874107194845+0j),(-122.80882719190829+0j),(7+0j),(-8.36435808923909+0.4550287443448254j),(8.480474947495264-3.3207907001622123j),(0.1783163102159826-13.629311865986427j),(-3.2180745184546353+0.2431365354328979j),(9.247551411700197-15.245610636237124j),(-10.887884188573324-10.646791833651768j),(1.5501000640659621-3.6158982843852256j),(6.338207101326393+12.615730854587117j),(-10.748974853983446-7.65836092695889j),(14.550337687426397-5.386167234764675j),(-4.704338942261716-2.471398936378117j),(2.468339781542534+5.5545047755337045j)
16,(4+0j),(141.56642097724935+0j),(128.47392898649804+0j),(5+0j),(-4.905326105838309-6.38225446336258j),(17.232118894696654-11.253989390506279j),(1.516481535716596-1.108289289566682j),(4.624057728838808+3.897412233127912j),(-12.397022742770627+3.3835683622050166j),(9.839176093603049-6.484188969046575j),(6.247589945627718-12.826037725741505j),(-3.739090637496531-0.34614240796996903j),(-2.2247146184043185+10.812457243546433j),(-6.143942904885062+14.822007509911339j),(-5.763875795098732+0.182468428820862j),(-13.424743452570006-13.527813079747464j)
17,(6+0j),(97.623218201691+0j),(-194.5831929687544+0j),(4+0j),(-16.74020217950462+7.310499503023433j),(-2.992924847011724+1.902728393645399j),(-5.685500030881694-10.828663721184293j),(-5.7664433038470335+9.141899036191976j),(9.27066042151009-13.35988968484818j),(-13.322853290830007+10.936330353238482j),(-10.45505745789612-10.93980819250713j),(-16.91303900250775+10.672066047707885j),(-5.210299378626373-0.25873083188685203j),(3.879424853258702+8.170404519406436j),(-11.553737490036761+17.37518181426369j),(17.31548869878672-14.342014336781032j)
18,(5+0j),(53.219958575942826+0j),(27.11239368528092+0j),(10+0j),(3.6971649851925967-4.376949323946392j),(8.130944541220053-0.15866000791334975j),(0.37121710419753307+3.963151144404934j),(-1.196303051054741+11.759036182155313j),(1.6513876586364638-16.65102930992565j),(-8.95234275883752+15.99205266340023j),(8.646363114609931+0.6815839200427142j),(0.7446370549374486+4.6548915864269205j),(-2.987712226692926+3.4915750800969385j),(-0.39717430070972803+14.77944571959525j),(6.558812537533143-20.34146437491211j),(-4.031876083865566-6.850272714897666j)
19,(7+0j),(-33.458070210699816+0j),(70.74405919538957+0j),(9+0j),(-1.0701583297792314+9.62518498297024j),(-0.7626399358194742-1.206539757856928j),(5.2924237425895315+5.307979021082566j),(-19.901982036135486+8.107448646503158j),(-4.726840459983432-14.791081977602145j),(11.343465232689914-13.49863412148542j),(-0.41102493474835866+14.105929762122681j),(2.2206888115089103-2.694040202932593j),(1.599674367472061-17.07044568553185j),(13.737775436995141+13.576279976249516j),(4.593893905318389+13.635420975831853j),(23.36779560268077-5.399622675798279j)
20,(5+0j),(-20.423806909102563+0j),(-157.739979359764+0j),(4+0j),(-9.733128270453673-14.680060939790621j),(20.307669350040403-10.789389331573352j),(-1.3458230300378606+6.644225599069651j),(5.697279141784945-6.410399791078922j),(-13.140941507349414+5.732320318854377j),(-14.417017852086111+1.2469683298577907j),(-1.1517303604773745-3.494534209703005j),(7.878099644412801+11.252117266333723j),(-2.36842730922038-5.679672538596247j),(-0.2322776551958604-13.16335489227262j),(-3.669037907952772+5.0591524909885335j),(11.095918299889062+3.845946845852923j)
21,(5+0j),(-150.7595630292218+0j),(-55.9232739956112+0j),(8+0j),(12.870251189807028-6.648297884728656j),(-6.187841767178321-5.977648536559604j),(-5.264252263419571-6.187548719028503j),(4.084315385222546-3.4507189121271997j),(-14.794056020239804-23.444237812538148j),(-0.9667082127645863+0.580381416522477j),(3.066499147809182+32.92439165124401j),(23.42359811806817-8.636317627381095j),(12.133368318186866-16.46772182964317j),(12.642111831120912-10.930432319092647j),(6.204309787709681-0.2086003200444831j),(5.958818734865627-7.944323836072056j)
22,(5+0j),(65.31878130566709+0j),(-100.66789819992377+0j),(8+0j),(9.038739847820693-1.750643950985379j),(12.348966772255572+9.03978384701444j),(-12.241459725294085-12.957918207264765j),(-3.56556105191078+11.094440528355808j),(-11.227248988667908+1.995077354748143j),(17.13579021583903+2.5535755183148097j),(6.151436168217047+9.89794956518714j),(22.957350727275852+8.826214288517484j),(-0.4159337337734609-13.06013043604003j),(-6.759133300736141-10.864679270227342j),(4.182711025866187-11.434297408841296j),(1.3093680381549901+8.334171430727267j)
23,(7+0j),(249.67173601315702+0j),(7.699353123747654+0j),(9+0j),(-0.3368873603816924+13.330359234572366j),(-0.9331076386881404+1.3713831835048866j),(-13.993497878960031-5.209703253673092j),(13.544366854026414-3.4756921355128116j),(2.1196704737201264+3.3883681468825615j),(1.3466891139281656+3.664301071771547j),(-2.8605415593365335-6.509272950796569j),(-9.301325414933693+3.4374966612057993j),(-8.516973959934738+1.9041883042262202j),(-6.36070767569807+1.7811366866623994j),(3.799406444408975-36.48778051146839j),(5.832460675483134-6.009022010679315j)
24,(5+0j),(-182.523754537582+0j),(44.220863511146+0j),(8+0j),(-3.564689490997459+16.582298493003503j),(-0.023564496173562478+11.449577021622865j),(9.46443183621666+2.798146646683976j),(1.165733619017209+0.05240609110080203j),(-9.761900067447776-10.450904374710273j),(6.063994358609759-3.717730914206382j),(-0.7740967166738113-3.3105031133513667j),(-8.655364627381065+3.7217061610575692j),(-21.822163435030703+15.023657600841569j),(11.52139141248023-7.741031940131292j),(-4.319557287067617-8.373026544755657j),(12.693876095213241+13.996275542136715j)
25,(5+0j),(13.909882150801556+0j),(118.63728316250331+0j),(7+0j),(-0.6385446542652271+1.8803168043108254j),(-1.758954440523374+16.03928780337078j),(6.8612094834420585-17.662286396704282j),(-2.9736826573267363+0.10518890973726613j),(-10.086294681991337+7.5289843784487145j),(22.639422838450976-2.5622030774265294j),(9.576516884164938-18.499233318351095j),(-17.441776759036664+9.085815600456623j),(-12.063121423340187-6.281840051212733j),(-0.7932225254823871-4.761374255835439j),(-1.7122288537031012-0.6989387340078057j),(2.3678820493658854-4.918656417933332j)
26,(5+0j),(-22.471466053927372+0j),(-20.757069017158887+0j),(3+0j),(-0.19294445155608136-6.0288796748146805j),(24.952962286562062-12.332737957440044j),(-1.3175137483699486-4.583687702138654j),(-8.519967512744033+19.216218179620196j),(10.36001021020324+8.46387132373493j),(-5.963344942574499+8.409258119831499j),(14.736135843818898+21.26971895245955j),(6.293863505349226-7.89301287692782j),(10.133679120752179+4.716669572785259j),(7.171218988267205-2.0141052556500325j),(-12.603774591081985-11.847875469160341j),(9.270516412997885+9.389341718138098j)
27,(3+0j),(14.86718867044308+0j),(53.54665358669034+0j),(1+0j),(-3.571346832772871-0.16734036805208355j),(7.469429738992801+7.877014341701441j),(-10.460727335408022-18.18058183961066j),(14.601673115788085-8.71874875383356j),(-9.134610662216618+0.9554505748515423j),(-16.857183928729825-2.261674824466954j),(-11.488728376012125+12.585929745594948j),(-13.289844254900725-2.3721789390016292j),(4.044095195875779-4.137150780047055j),(-7.649501153258456+9.034729589396544j),(-5.311421548603349-6.179765080255267j),(-8.743900797276414-7.708724456667783j)
28,(5+0j),(17.720829881731273+0j),(-81.80254832065475+0j),(8+0j),(-1.7038217177254267+7.451599845423322j),(-1.7626681490007192-18.155199317077027j),(11.174920600718492+11.779438830951518j),(29.35665277484132+3.2615913389224493j),(-13.883678150676555+6.910478765906575j),(-15.569943011441069+10.113747912523731j),(1.1418536815949278+17.538460222490535j),(-1.0725324937513572+9.050414354328213j),(0.03673804778360208-3.3632358344463635j),(-4.3167110343058-1.5501384302468342j),(-10.512116620914068+1.4119075596310846j),(-9.682329852039002+6.945674591429314j)
29,(6+0j),(69.91074367470016+0j),(-29.11361463224336+0j),(6+0j),(-12.477942050063312-7.611595552830397j),(-0.12560442947197473-5.252072772759418j),(-4.0627826236604-8.985281309257243j),(0.020676677453259712-18.903766138011278j),(7.18863877476895+8.053861503394641j),(-11.848486510812728-7.71398398014279j),(-3.7972702222155563+8.245497527951581j),(7.036650437798774-9.877054118697224j),(-13.03461366418272+6.0203792731143615j),(-4.795296678362899-10.003161743731974j),(-9.200123174403684-17.38011235331337j),(-8.718787508629214-26.77503160123763j)
30,(6+0j),(-111.45419240152279+0j),(32.29344776860622+0j),(10+0j),(19.292815454581802+11.10268427678825j),(5.020833333124727+3.1204492792482648j),(-4.315689682550668+12.153835369420566j),(2.4574454036531175+6.851426922336481j),(10.149962519625173+7.274983045181492j),(2.18006355964899-1.803438598739546j),(-12.197738566086581-1.9323737476245286j),(29.99529457560103+0.8201945117143034j),(1.3702075526357818+11.7170403853845j),(5.895218600799579+14.603265364644066j),(9.9222204252373+6.15884399784907j),(5.195456162849638-1.8661169624527818j)
31,(5+0j),(-67.06412989656076+0j),(1.202571399954061+0j),(10+0j),(-6.931808727113896+8.493166621426946j),(4.666083399724009-4.548720438980903j),(2.0820865835157325-10.936953311470745j),(9.418138756292507-0.6284699522245834j),(-0.9544113760979201-0.4539485754606032j),(2.9255948233379088-4.167245532190654j),(5.092586708482445-13.47628768602567j),(19.54038595778476-5.537849489564891j),(7.250229437899404+1.632444716756126j),(-1.9865346908374955-3.4003933681229586j),(-15.082647706816978+0.7732007714213712j),(3.2305443786898786+15.05431441508102j)
32,(3+0j),(117.35639565479768+0j),(21.458693749972728+0j),(7+0j),(3.553651983769907-4.007569422080952j),(14.411294919230247-1.7480556491951715j),(-4.435819310116785-22.296087254142705j),(3.6751105165418068-11.982038320055215j),(-4.244236576077828+9.413867464677589j),(-0.42618307212370504-0.9611052483750925j),(-0.7017633683486804+4.673267205210567j),(18.482135965844208+1.6180778214235216j),(5.180976846677656-0.6197292386326292j),(0.34178514036447033+14.250090488475111j),(-11.758826753582557+0.6732799268614327j),(5.508936763771405+1.7608604179596123j)
33,(4+0j),(-197.62204902727595+0j),(103.22094968549457+0j),(5+0j),(-7.380671522685765-4.056255519947375j),(4.372737509990295-5.117045182104124j),(3.7184797210639693+15.535705480486268j),(3.1099479735378233-8.21406743716466j),(0.8732064968482269-16.132456291477343j),(-11.333648333829933-11.75555906661156j),(0.6554349709544802-2.345109025068244j),(5.760343375861216-15.368946543234781j),(15.734674173719235-7.574480003740226j),(-11.68353862381512+22.617109482314017j),(6.930466046289132+22.9597912726758j),(-20.073387895537664-15.883006477271254j)
34,(7+0j),(-56.68556535007969+0j),(51.49986386208424+0j),(9+0j),(1.5657685499416043+1.5609925454081266j),(20.969588793122348-4.373479114043925j),(1.3330371675919808-9.171749265750547j),(-4.712093354602655+4.825086359378396j),(5.956679614926954-2.009377967832275j),(-2.7013492256361307+9.40333734881903j),(8.838359272701341+11.8939823251003j),(-0.7124286402156644-2.816322756553195j),(17.4898433439487+8.839516043360472j),(-5.484728669675128+7.930057667769251j),(-11.900355837197116-0.36477320530349516j),(-4.763520346071433-1.2908798443343201j)
35,(6+0j),(-36.408426892904636+0j),(-38.23378089485795+0j),(10+0j),(5.680688908321131-8.854699491090386j),(3.2072727021712573+12.054969229790217j),(9.045820022791807-0.6049824161088706j),(-6.545912433705549+15.928113816017378j),(-0.46482734552121774+14.46086726866577j),(12.376343661654293+7.553589918189544j),(3.987810091230859-16.277786123454977j),(14.320580885804556-26.210692021437893j),(12.995496718468168+1.8151329903942517j),(-17.268029475228214-12.40895228252538j),(25.90733431456964-9.49697487506773j),(0.03878244881198214-6.73122091111761j)
36,(5+0j),(-1.4022496450335673+0j),(76.98211507556415+0j),(3+0j),(5.970565699191389+5.4088469135779595j),(10.350631469823329-3.0869265165036164j),(7.825121507954076+5.1622773000106195j),(-11.775033112229975-16.779044687331005j),(20.234832316369623+21.27252036302349j),(-2.4797998287766183+9.617066129360442j),(6.630828823193036+3.1850425506650177j),(3.7433736180301365+19.75978142317745j),(2.944011974845359+1.8468584642932087j),(10.078992674201126+0.3309615841417116j),(2.52589238884057-0.4085473482647716j),(5.7950793144787465+30.518450185231405j)
37,(7+0j),(53.42626939304386+0j),(99.30621500306853+0j),(5+0j),(-20.73943337113732+6.104930878225993j),(1.6808213371997067+1.2366904874579816j),(19.401565659018942-5.507471431033952j),(-8.900199678495332+8.578307553757577j),(27.626287298859932-16.921265063564363j),(-17.577569222190302-2.923857387144447j),(3.7586699299563726-5.953082963635153j),(-2.853514216403056+7.906116060931216j),(-1.3560716466012326+6.9937729603469565j),(-15.0507771993973-8.318313600518389j),(-8.558054068417492+6.47562847726335j),(-12.177602233755987+1.824805741697841j)
38,(5+0j),(-63.29661059641671+0j),(9.92212482344056+0j),(7+0j),(17.567461216340394-0.07851372278117649j),(-8.761051264750543-6.170302734314529j),(4.060877609839001-10.41790396959956j),(-15.660560467434461+6.078550965579992j),(11.175724017586376+4.594187785967232j),(5.342001217788943-1.0524953022564145j),(-5.264528256484917-15.538909551813182j),(6.351737182016653-7.983355755773011j),(2.141545620330473+0.5119077307926452j),(-3.3435076820854692+7.268911300857624j),(4.208563023571185-14.761113001268987j),(10.72768648060854-1.9866085854251239j)
39,(7+0j),(82.09860159509607+0j),(-97.26970592445745+0j),(1+0j),(-4.749976719025112+13.701183768046047j),(-24.041451193967596-4.211583384796343j),(-8.334869772577543-25.619859644476893j),(-19.608734398751572-6.757388909046595j),(-13.861488172987587-3.0704346835710226j),(-1.5026047523714805-5.958374508049246j),(1.1770197221263214-7.2081604307087845j),(-5.35963775520933+4.844024007933657j),(-12.96842693353754-0.09804554566529508j),(5.575942197494397+18.00795257129015j),(-1.2740349048790187+4.162383764236857j),(15.118352979956654+0.20722492305817938j)
40,(7+0j),(21.89677118849932+0j),(-153.1960477566883+0j),(2+0j),(-1.46642501543339+0.7956909046732407j),(10.781112115781426-12.89232732465836j),(-4.487673210426792-8.37578762498678j),(-3.624157836459428+14.766421675623647j),(11.217240762385249-8.958330573770867j),(-25.799720073436816-3.9392507207291576j),(-8.595961898903898-4.213911605902798j),(-14.448107436465975-13.024226807409535j),(0.9058488157462518+2.703696844433762j),(-13.898592521721753-5.4148448332037695j),(-5.936488799391815-0.3060437047227518j),(-7.437013229044153-0.8702872174167097j)
41,(7+0j),(19.8736635782707+0j),(195.07614720355838+0j),(11+0j),(-3.463455920059799+4.931856928287568j),(2.7756859255199147+7.042882099305247j),(7.85775509712211+18.60379266451237j),(-9.25144847536291+3.955649156685487j),(5.05164291856269-2.6189723255426394j),(6.024233058171018+1.4691953902047385j),(-20.636858519684047-1.427288593890316j),(-6.95922241487604+12.43079295053861j),(0.9441474831031144-2.868013846236744j),(-16.955411016246767+7.005228933603153j),(-14.218261309328986-9.942389932208158j),(-12.364561571196393+2.459483643908396j)
42,(5+0j),(-100.73005239494735+0j),(-55.16276735577208+0j),(6+0j),(-9.405245189956913-1.062093961164389j),(-5.043849668618262-0.5560742845642825j),(0.7220444284643326-8.129090842201848j),(24.46045071981615+6.139084795963253j),(9.737893410807901+6.020542408290655j),(-10.372577865050909-9.270544099516751j),(-8.601333147118158+11.24001752989412j),(21.061193682323566+4.32655214386127j),(10.278965092248008+7.5272602880978425j),(0.7850162835795316-0.6182241908453429j),(-15.356329823883934-2.266103178431255j),(-2.488215838164027+14.555295129606714j)
43,(6+0j),(-129.30748764721073+0j),(-121.3234692892498+0j),(2+0j),(6.137019604260186+4.396402458704542j),(0.4061997012313474+2.8368764286289045j),(-4.167554432326837-4.48984185077914j),(-14.942130231029726+7.873643686993454j),(-4.7499701647381976-6.660212949890064j),(-1.71031873293416-4.851034679086597j),(-0.7683939261307299+4.014208084931176j),(-12.907273061594353-12.258275582943575j),(10.714707978490786-1.7678862510952902j),(-7.362808560180605-8.897451276777375j),(6.560181561107413+6.744668218557075j),(-6.610675324522147-3.2744586832743536j)
44,(6+0j),(-114.37661470315095+0j),(92.00237230932454+0j),(3+0j),(-0.3075695332547852-3.925119055374263j),(-7.428551176202097-0.7833588478912412j),(-11.481275966671301+10.040661403858369j),(12.07881300565167+1.8852855190510724j),(3.2436729217855547+1.5180617593514705j),(-10.879509330734354-4.4778804817178255j),(-2.656226559718081+5.974469022608611j),(-15.200553360840097+0.020877622007742645j),(4.039182999392228-0.8411555525275188j),(-9.2816383831428+6.082018324345313j),(-1.882418750334038+7.2829133913141275j),(8.422547536047226-25.51229135343111j)
45,(6+0j),(35.92458750271085+0j),(68.1780940337323+0j),(3+0j),(7.748625576164927+6.068462057195355j),(-8.378036827269176+18.430209401801328j),(7.258227149257861+3.925301349173465j),(19.879940452053415-5.785186824697011j),(0.7377964385219427+23.445372368957386j),(-5.281725952728593-13.945094306248214j),(10.392465206089561-11.258904496628276j),(-6.970812939684089-10.159122550918799j),(-12.345835568656172-0.39935939723193337j),(2.2825689903776776-8.214272740804306j),(4.774308865812097-15.350686965658136j),(-2.7884495881309297+12.04836575691039j)
46,(4+0j),(18.438422185726385+0j),(-112.46780920962614+0j),(4+0j),(8.199107326476051+19.30058217371906j),(-21.143577327439395-5.971046967158696j),(8.217765134794558-0.2089059843038853j),(9.491773167988432-4.54763487661621j),(-12.370598964326842+6.654683011146921j),(5.123245927851524+1.1950968474675547j),(0.18767167362946163-7.552636388404967j),(7.336682614570672+5.627199044760216j),(-10.647109035698747-4.2552913493138975j),(-4.709098546396041+19.3587856807306j),(-10.18509723518747+7.37529014095161j),(1.8757119682798162+17.68832025938752j)
47,(5+0j),(130.44442271067027+0j),(-40.460836301063274+0j),(7+0j),(14.239174321677211+14.131655814001853j),(2.370802491559946-15.003064000329719j),(-9.112757267737189-10.104209920628943j),(2.908702311932121+10.344229105123405j),(-10.403724857016366+3.924326701904699j),(-8.513617382629423+12.089976407049296j),(-5.893404105088841+20.942411084513978j),(-16.977588204183903-4.42497571733977j),(6.9309352379159375-13.177118153335126j),(14.535293740370012-0.2606237020302772j),(-8.329739318741236+18.840104812528956j),(-8.925107422126578-9.425359540563926j)
48,(3+0j),(93.29982218407591+0j),(-67.9353394841163+0j),(5+0j),(-0.4077650113049771+4.032016699308568j),(-3.8977637534183907+13.752264204619344j),(10.03122803668184-7.954693266714936j),(-11.062927228507263+8.583013149256349j),(-8.260685989453272+2.055747979987514j),(2.0369354672230697-17.99785021376376j),(2.409444811605031-7.596677866875924j),(17.627787450170732+29.614499212200055j),(-5.33898676846548+0.37170148252456525j),(6.709975670064222-1.5633883903722463j),(-9.483935539732357-5.729065268445393j),(-6.844761225601865+5.299235309142381j)
49,(4+0j),(64.99914362031186+0j),(-44.03241169721858+0j),(10+0j),(0.8185604874032755+17.826017285275714j),(-10.260209625631425-2.611613645478913j),(-1.535534800293504+2.0962287029984843j),(-0.6240572199698969-6.660704794202317j),(-0.19044538964238333+14.442158117971458j),(6.845062504414021+18.366452188591506j),(-25.245061853413127-6.795691536705103j),(3.758767306470843-21.546647250580925j),(-8.2356177560932-0.09548004527359467j),(-6.751039273755801-4.183776402207066j),(1.4293210593090047+11.229921341874904j),(2.8084736552127993+18.22550117970811j)
50,(3+0j),(71.28351260822987+0j),(93.20502035152771+0j),(10+0j),(-4.915381338596117+20.28120293848201j),(-20.576794211423554+10.325357650424092j),(-21.536871041903368+1.7668960986871916j),(10.487241011050333-9.727755127915085j),(5.4299582018815284+4.52908148119854j),(16.46343829551754-7.954534155542673j),(0.686198269264139-9.016265213356942j),(-9.026766230241883+4.007090622632799j),(11.538273465921542+8.114844274969464j),(4.251153251992758+6.907952516913131j),(-0.47236689152710953-0.8783054681520969j),(-30.67765088813717+7.572876338818576j)
